Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2019-02-17,-0.047702,0.024812,0.022889,-1.0000000000288e-06,0.012797875,-0.070591,0.0,0.0,0.0,22.87,33.49,21.42
2019-02-10,0.081166,0.008553,-0.08972,-9.9999999991773e-07,0.02371175,0.170886,0.0,0.0,0.0,48.54,35.48,50.56
2019-02-03,-0.059022,0.064611,-0.005587,1.9999999999465e-06,-0.007733125,-0.053435,0.0,0.0,0.0,14.97,27.76,42.35
2019-01-27,0.041243,-0.001861,-0.039383,-1.0000000000288e-06,0.00472175,0.080626,0.0,0.0,0.0,49.71,23.08,22.6
2019-01-20,-0.049268,-0.019563,0.068832,1.0000000000288e-06,0.01035275,-0.1181,0.0,0.0,0.0,30.44,118.06,31.14
2019-01-13,0.054426,0.07954,-0.133967,-1.0000000000288e-06,0.00421725,0.188393,0.0,0.0,0.0,75.05,97.38,74.93
2019-01-06,0.014713,0.06059,-0.075303,0.0,-0.010331875,0.090016,0.0,0.0,0.0,-65.02,0.0,42.33
2018-12-30,0.066827,-0.09683,0.030003,0.0,-0.00797925,0.036824,0.0,0.0,0.0,-100.15,-142.38,-39.26
2018-12-23,0.039609,-0.023882,-0.015728,-9.9999999991773e-07,-0.0038805,0.055337,0.0,0.0,0.0,-100.49,-94.27,-144.11
2018-12-16,-0.170393,-0.013343,0.183736,0.0,-0.01628875,-0.354129,0.0,0.0,0.0,-14.25,-72.66,-48.99
2018-12-09,0.040617,0.049156,-0.089772,9.9999999991773e-07,0.0091715,0.130389,0.0,0.0,0.0,56.18,24.8,-43.73
2018-12-02,0.086291,-0.009647,-0.076643,1.0000000000288e-06,-0.014725625,0.162934,0.0,0.0,0.0,-2.8000000000002,-0.42999999999984,93.86
