Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2019-02-17,629.061355,517.479513,499.45792,1645.998788,622.920194,129.603435,634.33768968029,804.58807140631,464.0873079542,1908411.480371,1859916.050709,1887670.148623
2019-02-10,628.710323,517.081283,499.207183,1644.998789,622.569000125,129.50314,633.95551388745,804.10442830427,463.80659947058,1905649.630371,1857234.220709,1884917.118623
2019-02-03,628.311589,516.707865,498.979335,1643.998789,622.230604125,129.332254,633.57333809462,803.62078520222,463.52589098697,1902910.650371,1854585.880709,1882185.508623
2019-01-27,627.994021,516.343,498.661767,1642.998788,621.915919875,129.332254,633.19116230179,803.13714210017,463.24518250335,1900220.210371,1851973.020709,1879504.458623
2019-01-20,627.617431,516.042746,498.338612,1641.998789,621.5935025,129.278819,632.80898650896,802.65349899813,462.96447401974,1897544.740371,1849387.920709,1876865.758623
2019-01-13,627.282084,515.740631,497.976074,1640.998789,621.275806875,129.30601,632.42681071613,802.16985589608,462.68376553612,1894918.980371,1846825.900709,1874249.658623
2019-01-06,626.897469,515.418953,497.682368,1639.99879,620.968464,129.215101,632.0446349233,801.68621279403,462.40305705251,1892323.660371,1844381.940709,1871664.698623
2018-12-30,626.56728,515.176815,497.254695,1638.99879,620.665338375,129.312585,631.66245913047,801.20256969198,462.12234856889,1889803.390371,1842035.360709,1869154.668623
2018-12-23,626.251804,514.995267,496.751719,1637.99879,620.351880875,129.500085,631.28028333764,800.71892658994,461.84164008528,1887218.100371,1839688.780709,1866686.968623
2018-12-16,626.003155,514.716889,496.278746,1636.99879,620.030444125,129.724409,630.8981075448,800.23528348789,461.56093160166,1884532.660371,1837199.820709,1864180.008623
2018-12-09,625.794115,514.414629,495.790045,1635.998789,619.705126875,130.00407,630.51593175197,799.75164038584,461.28022311805,1881746.730371,1834616.590709,1861528.938623
2018-12-02,625.414682,514.099026,495.48508,1634.998788,619.363520875,129.929602,630.13375595914,799.2679972838,460.99951463443,1878946.550371,1831960.700709,1858828.878623
2018-11-25,625.075866,513.832579,495.090343,1633.998788,619.031086375,129.985523,629.75158016631,798.78435418175,460.71880615082,1876202.550371,1829329.610709,1856085.088623
2018-11-18,624.823341,513.556485,494.618963,1632.998789,618.68392625,130.204378,629.36940437348,798.3007110797,460.4380976672,1873455.750371,1826698.090709,1853435.158623
2018-11-11,624.472464,513.267011,494.259314,1631.998789,618.323056125,130.21315,628.98722858065,797.81706797765,460.15738918359,1870640.600371,1824012.340709,1850733.578623
2018-11-04,624.05962,512.991782,493.947387,1630.998789,617.96599275,130.112233,628.60505278782,797.33342487561,459.87668069997,1867825.450371,1821311.900709,1847919.688623
2018-10-28,623.68031,512.71592,493.602559,1629.998789,617.620422875,130.077751,628.22287699499,796.84978177356,459.59597221636,1865082.860371,1818708.360709,1845207.948623
2018-10-21,623.400617,512.405575,493.192597,1628.998789,617.269489,130.20802,627.84070120216,796.36613867151,459.31526373274,1862265.920371,1816056.470709,1842551.848623
2018-10-14,623.061267,512.095106,492.842416,1627.998789,616.899146875,130.218851,627.45852540932,795.88249556946,459.03455524913,1859391.900371,1813345.960709,1839742.638623
2018-10-07,622.755206,511.755712,492.487871,1626.998789,616.523146625,130.267335,627.07634961649,795.39885246742,458.75384676551,1856452.040371,1810561.100709,1836956.958623
2018-09-30,622.298585,511.463475,492.236729,1625.998789,616.14019125,130.061856,626.69417382366,794.91520936537,458.4731382819,1853512.180371,1807657.820709,1834031.448623
2018-09-23,621.93638,511.136703,491.925705,1624.998788,615.768859,130.010675,626.31199803083,794.43156626332,458.19242979828,1850571.270371,1804754.540709,1831125.478623
2018-09-16,621.615957,510.777548,491.605282,1623.998787,615.40641425,130.010675,625.929822238,793.94792316128,457.91172131467,1847658.910371,1801875.340709,1828217.528623
2018-09-09,621.295061,510.426802,491.276924,1622.998787,615.04462025,130.018137,625.54764644517,793.46428005923,457.63101283105,1844764.260371,1799011.220709,1825328.608623
2018-09-02,620.872839,510.111987,491.013961,1621.998787,614.679609125,129.858878,625.16547065234,792.98063695718,457.35030434744,1841847.760371,1796134.300709,1822440.008623
2018-08-26,620.43788,509.790849,490.770059,1620.998788,614.31356225,129.667821,624.78329485951,792.49699385514,457.06959586382,1838931.260371,1793280.270709,1819525.968623
2018-08-19,620.053265,509.44612,490.499404,1619.998789,613.96706625,129.553861,624.40111906668,792.01335075309,456.78888738021,1836058.030371,1790477.780709,1816664.148623
2018-08-12,619.691563,509.098602,490.208624,1618.998789,613.63308675,129.482939,624.01894327384,791.52970765104,456.50817889659,1833195.550371,1787675.290709,1813845.778623
2018-08-05,619.327927,508.772583,489.898279,1617.998789,613.295921625,129.429648,623.63676748101,791.04606454899,456.22747041298,1830332.120371,1784878.950709,1810988.078623
2018-07-29,619.036822,508.384443,489.577524,1616.998789,612.94823575,129.459298,623.25459168818,790.56242144695,455.94676192936,1827484.090371,1782080.840709,1808174.718623
2018-07-22,618.721605,507.968682,489.308502,1615.998789,612.588273875,129.413103,622.87241589535,790.0787783449,455.66605344575,1824636.060371,1779285.700709,1805328.648623
2018-07-15,618.374972,507.564692,489.059125,1614.998789,612.2239415,129.315847,622.49024010252,789.59513524285,455.38534496213,1821819.300371,1776514.930709,1802513.028623
2018-07-08,617.944464,507.286726,488.7676,1613.99879,611.854735625,129.176864,622.10806430969,789.1114921408,455.10463647852,1819023.720371,1773803.770709,1799739.008623
2018-07-01,617.665912,506.958035,488.374842,1612.998789,611.493498875,129.29107,621.72588851686,788.62784903876,454.8239279949,1816277.630371,1771111.780709,1797025.788623
2018-06-24,617.381429,506.650564,487.966796,1611.998789,611.125192875,129.414633,621.34371272403,788.14420593671,454.54321951129,1813502.770371,1768413.110709,1794326.158623
