Date,Open,High,Low,Close,Adj Close,Volume
2014-03-21,0.500000,0.515000,0.500000,0.500000,0.456918,933000
2014-03-24,0.510000,0.515000,0.500000,0.505000,0.461487,1067000
2014-03-25,0.500000,0.505000,0.490000,0.490000,0.447780,450000
2014-03-26,0.490000,0.500000,0.485000,0.490000,0.447780,522000
2014-03-27,0.490000,0.505000,0.490000,0.490000,0.447780,943000
2014-03-28,0.495000,0.510000,0.490000,0.510000,0.466057,2185000
2014-03-31,0.515000,0.520000,0.495000,0.495000,0.452349,5768000
2014-04-01,0.490000,0.495000,0.480000,0.485000,0.443211,746000
2014-04-02,0.485000,0.485000,0.480000,0.480000,0.438641,187000
2014-04-03,0.480000,0.490000,0.475000,0.480000,0.438641,622000
2014-04-04,0.480000,0.480000,0.475000,0.480000,0.438641,740000
2014-04-07,0.480000,0.480000,0.460000,0.460000,0.420365,1364000
2014-04-08,0.460000,0.480000,0.460000,0.480000,0.438641,3187000
2014-04-09,0.480000,0.485000,0.470000,0.470000,0.429503,1100000
2014-04-10,0.470000,0.475000,0.470000,0.470000,0.429503,242000
2014-04-11,0.465000,0.470000,0.465000,0.465000,0.424934,474000
2014-04-14,0.465000,0.470000,0.460000,0.465000,0.424934,288000
2014-04-15,0.465000,0.465000,0.460000,0.460000,0.420365,1063000
2014-04-16,0.465000,0.465000,0.460000,0.465000,0.424934,246000
2014-04-17,0.465000,0.465000,0.460000,0.460000,0.420365,1411000
2014-04-21,0.460000,0.460000,0.455000,0.455000,0.415796,143000
2014-04-22,0.455000,0.460000,0.455000,0.455000,0.415796,273000
2014-04-23,0.455000,0.455000,0.450000,0.450000,0.411226,328000
2014-04-24,0.455000,0.465000,0.450000,0.460000,0.420365,655000
2014-04-25,0.460000,0.460000,0.455000,0.455000,0.415796,46000
2014-04-28,0.455000,0.455000,0.450000,0.450000,0.411226,1040000
2014-04-29,0.450000,0.450000,0.450000,0.450000,0.411226,154000
2014-04-30,0.455000,0.455000,0.430000,0.430000,0.392950,743000
2014-05-02,0.440000,0.440000,0.420000,0.440000,0.402088,327000
2014-05-05,0.410000,0.425000,0.410000,0.410000,0.374673,268000
2014-05-06,0.410000,0.420000,0.400000,0.405000,0.370104,1427000
2014-05-07,0.410000,0.425000,0.410000,0.415000,0.379242,3769000
2014-05-08,0.410000,0.410000,0.400000,0.410000,0.374673,1009000
2014-05-09,0.410000,0.410000,0.405000,0.410000,0.374673,568000
2014-05-12,0.410000,0.415000,0.405000,0.415000,0.379242,299000
2014-05-14,0.410000,0.410000,0.405000,0.405000,0.370104,1058000
2014-05-15,0.405000,0.410000,0.400000,0.400000,0.365535,1505000
2014-05-16,0.405000,0.405000,0.395000,0.400000,0.369227,1087000
2014-05-19,0.405000,0.415000,0.400000,0.405000,0.373842,389000
2014-05-20,0.400000,0.400000,0.400000,0.400000,0.369227,109000
2014-05-21,0.400000,0.405000,0.395000,0.395000,0.364612,290000
2014-05-22,0.400000,0.400000,0.395000,0.395000,0.364612,421000
2014-05-23,0.395000,0.400000,0.390000,0.395000,0.364612,1003000
2014-05-26,0.395000,0.395000,0.390000,0.390000,0.359996,152000
2014-05-27,0.395000,0.410000,0.390000,0.405000,0.373842,1696000
2014-05-28,0.405000,0.430000,0.405000,0.425000,0.392304,3400000
2014-05-29,0.430000,0.440000,0.425000,0.425000,0.392304,4554000
2014-05-30,0.425000,0.430000,0.420000,0.420000,0.387688,269000
2014-06-02,0.410000,0.420000,0.390000,0.395000,0.364612,2286000
2014-06-03,0.395000,0.395000,0.390000,0.390000,0.359996,620000
2014-06-04,0.390000,0.400000,0.390000,0.390000,0.359996,706000
2014-06-05,0.395000,0.395000,0.385000,0.390000,0.359996,1204000
2014-06-06,0.390000,0.400000,0.390000,0.390000,0.359996,1198000
2014-06-09,0.395000,0.410000,0.395000,0.405000,0.373842,2201000
2014-06-10,0.405000,0.405000,0.400000,0.405000,0.373842,1530000
2014-06-11,0.400000,0.400000,0.395000,0.400000,0.369227,195000
2014-06-12,0.395000,0.430000,0.395000,0.430000,0.396919,6107000
2014-06-13,0.435000,0.460000,0.430000,0.450000,0.415380,13833000
2014-06-16,0.450000,0.450000,0.425000,0.430000,0.396919,4458000
2014-06-17,0.425000,0.425000,0.415000,0.420000,0.387688,878000
2014-06-18,0.415000,0.435000,0.415000,0.425000,0.392304,3569000
2014-06-19,0.425000,0.430000,0.420000,0.420000,0.387688,2312000
2014-06-20,0.420000,0.420000,0.410000,0.410000,0.378458,3209000
2014-06-23,0.425000,0.425000,0.410000,0.410000,0.378458,2754000
2014-06-24,0.415000,0.415000,0.410000,0.415000,0.383073,613000
2014-06-25,0.415000,0.420000,0.410000,0.415000,0.383073,982000
2014-06-26,0.415000,0.425000,0.410000,0.410000,0.378458,1847000
2014-06-27,0.415000,0.420000,0.410000,0.415000,0.383073,1129000
2014-06-30,0.415000,0.425000,0.410000,0.410000,0.378458,1359000
2014-07-01,0.410000,0.415000,0.410000,0.410000,0.378458,745000
2014-07-02,0.410000,0.425000,0.410000,0.415000,0.383073,1429000
2014-07-03,0.420000,0.425000,0.415000,0.415000,0.383073,1154000
2014-07-04,0.415000,0.415000,0.410000,0.410000,0.378458,352000
2014-07-07,0.410000,0.415000,0.410000,0.410000,0.378458,378000
2014-07-08,0.410000,0.410000,0.405000,0.405000,0.373842,523000
2014-07-09,0.405000,0.410000,0.400000,0.405000,0.373842,519000
2014-07-10,0.405000,0.410000,0.400000,0.400000,0.369227,1007000
2014-07-11,0.405000,0.405000,0.400000,0.400000,0.369227,1093000
2014-07-14,0.400000,0.400000,0.400000,0.400000,0.369227,815000
2014-07-15,0.400000,0.400000,0.395000,0.400000,0.369227,851000
2014-07-16,0.400000,0.400000,0.395000,0.400000,0.369227,414000
2014-07-17,0.405000,0.410000,0.400000,0.400000,0.369227,1276000
2014-07-18,0.400000,0.400000,0.400000,0.400000,0.369227,1011000
2014-07-21,0.400000,0.400000,0.395000,0.395000,0.364612,776000
2014-07-22,0.395000,0.405000,0.395000,0.405000,0.373842,593000
2014-07-23,0.400000,0.400000,0.400000,0.400000,0.369227,404000
2014-07-24,0.400000,0.415000,0.400000,0.405000,0.373842,3058000
2014-07-25,0.405000,0.435000,0.405000,0.430000,0.396919,4757000
2014-07-29,0.435000,0.445000,0.420000,0.435000,0.401534,13821000
2014-07-30,0.435000,0.435000,0.410000,0.410000,0.378458,3495000
2014-07-31,0.410000,0.410000,0.400000,0.405000,0.373842,783000
2014-08-01,0.400000,0.405000,0.395000,0.400000,0.369227,3006000
2014-08-04,0.400000,0.400000,0.390000,0.395000,0.364612,3860000
2014-08-05,0.390000,0.395000,0.390000,0.395000,0.364612,1499000
2014-08-06,0.385000,0.390000,0.370000,0.370000,0.341535,3142000
2014-08-07,0.365000,0.380000,0.365000,0.375000,0.346150,2291000
2014-08-08,0.370000,0.380000,0.370000,0.375000,0.346150,1311000
2014-08-11,0.380000,0.385000,0.375000,0.385000,0.355381,813000
2014-08-12,0.380000,0.380000,0.375000,0.375000,0.346150,284000
2014-08-13,0.375000,0.380000,0.375000,0.375000,0.346150,607000
2014-08-14,0.380000,0.380000,0.370000,0.370000,0.341535,542000
2014-08-15,0.375000,0.380000,0.375000,0.380000,0.350766,839000
2014-08-18,0.380000,0.385000,0.375000,0.380000,0.350766,420000
2014-08-19,0.385000,0.385000,0.375000,0.375000,0.346150,1945000
2014-08-20,0.380000,0.380000,0.375000,0.375000,0.346150,481000
2014-08-21,0.380000,0.380000,0.375000,0.375000,0.346150,180000
